,Hospital Name,Speciality,Hospital Adress,Total Beds,ICU Beds,Operational Rooms,International arrivals,Landline Phone,Mobile contact,Website,Email
0,Rungta Hospital,Speciality : Cosmetic,"ADDRESS
Calgiri Marg, near Police Station, Jhalana Gram, Malviya Nagar,, Near Saint Anslems School, - 302017
,",150,32,5,1,0141-4039999,9.18003E+11,https://www.rungtahospital.com/,relationship@rungtahospital.com
1,"Wockhardt Hospitals, Nashik",Speciality : Cosmetic,"ADDRESS
Wani House, Mumbai - Agra National Hwy, Wadala Naka, Nashik, Maharashtra, Maharashtra State Board of Secondary & Higher Secondary Education Nashik Divisional Board Employees Co-Op Credit Society Limited., - 422001
,",180,42,4,NaN,-9820327615,9.1982E+11,http://www.wockhardthospitals.com,treatment@wockhardthospitals.com
2,"Wockhardt Hospital, Surat",Speciality : Cosmetic,"ADDRESS
R K Desai Marg, Opposite Chowpatty, Athwalines, Athwa Gate, Surat, Gujarat, Jawaharlal Nehru Garden, Surat - 395001
Surat, Gujarat",109,15,2,NaN,0261-6694500/6694595,9.2E+11,http://www.wockhardthospitals.com,hcu.srt@wockhardthospitals.com
3,"Wockhardt Hospitals, Nagpur",Speciality : Cosmetic,"ADDRESS
1643 North Ambazari Road Daga College, beside Lady Amritbai, Shankar Nagar, Lady Amritbai, Nagpur - 440033
Nagpur, Maharashtra",118,30,4,NaN,-9820327615,9.1982E+11,http://www.wockhardthospitals.com,treatment@wockhardthospitals.com
4,FORTIS FLT.LT.RAJAN DHALL HOSPITAL,Speciality : Cosmetic,"ADDRESS
Fortis Flt. Lt. Rajan Dhall Hospital, Aruna Asaf Ali Marg, Pocket 1, Sector B, Vasant Kunj, New Delhi, Delhi, Near DAV Public School, - 110070
South, Delhi",147,58,4,NaN,011 4277 6222,9.2E+11,http://www.fortishealthcare.com,uma.nambiar@fortishealthcare.com
5,"Sri Ramachandra Medical Centre, Chennai",Speciality : Cosmetic,"ADDRESS
No.1, Ramachandra Nagar, Sri Ramachandra Nagar, Chennai, Tamil Nadu, Ramachandra bus stop, Chennai - 600116
Chennai, Tamil Nadu",NaN,NaN,NaN,NaN,-9840999749,9.19841E+11,htpp://www.sriramachandra.edu.in,srmcinternationalptcare@gmail.com
6,Pulse Hospital,Speciality : Cosmetic,"ADDRESS
Pulse hospital Maqboolpura pura chowk near alpha one mall",50,12,3,20,7508930303,9.17509E+11,www.pulsehospital.net,pulsehospital.info@gmail.com
7,New Ruby Hospital Pvt. Ltd.,Speciality : Cosmetic,"ADDRESS
26, 27 Link Road, Lajpat Nagar, Jalandhar",51,10,3,10,0181-2224151,-2132970,www.newrubyhospital.com,newrubyhospitalpltd@gmail.com
8,Omni Hospitals,Speciality : Cosmetic,"ADDRESS
Plot no,20,21,22a,22b22c,23,24, balaji nagar , kukatpally",150,40,4,10,9550955058,9.19551E+11,https://omnihospitals.in,srinivas.k@omnihospitals.in
9,"STERLING HOSPITALS, AHMEDABAD",Speciality : Cosmetic,"ADDRESS
STERLING HOSPITALS, STERLING HOSPITAL ROAD,MEMNAGAR, AHMEDABAD- 380052, GUJARAT, INDIA",312,115,7,350,-9824990349,-9824990349,www.sterlinghospitals.com,int.cord@sterlinghospitals.com
