0,Dr. Barbara Karin Vela,Dubai London Clinic and Speciality Hospital - Jumeirah beach road
1,Dr. Sadaf Hanif Awan,Dubai London Clinic and Speciality Hospital - Jumeirah beach road
2,Dr. Prasad Saravana,Dubai London Clinic and Speciality Hospital - Jumeirah beach road
3,Dr. Purva Gupta,Cocoona Centre for Aesthetic Transformation - Al Wasl
4,Dr. Joan Garcia,iCARE Clinic - Discovery Gardens
5,Dr. Helen Claire Bernadette Cannon,Mediclinic Airport Road Hospital
6,Dr. Sana Dhouibi,HealthPlus Family Clinic - Al Forsan
7,Dr. Asma Kamal,Mediclinic Al Qusais
8,Dr. Sara Elmatari,Mediclinic Al Yahar
9,Dr. Eman Abdou Ahmed Abdelwahed,Mediclinic Al Yahar
10,Dr. Salma Elsheikh,Mediclinic Madinat Zayed
11,Dr. Zeina Khalil Mchawrab,Mediclinic Zakher
12,Dr. Rihab Amin Zoughebie,Mediclinic Al Yahar
13,Dr. Mansoor Anwar Habib,Mediclinic Parkview Hospital
14,Dr. Eiman Hassan,Mediclinic Mirdif
15,Dr. Shaheena Hameed,Mediclinic Springs
16,Dr. Luma Ismael Abbas,Mediclinic Al Ain Hospital
17,Dr. Ibtihag Ngeeb,HealthPlus Fertility Center - Abu Dhabi
18,Dr. Hiten Patel,Mediclinic Meadows
19,Dr. Nsreen Kamal Hassan Hammad,Mediclinic Al Mamora
0,Dr. Zubaidah Al-Quzweeni,Mediclinic Baniyas
1,Dr. Assem Awadelseed Hussain,Mediclinic Khalifa City
2,Dr. Hisham Aboul-Hosn,Mediclinic Al Yahar
3,Dr. Reza Nowruzi,Mediclinic Ibn Battuta
4,Dr. Rebecca Rugut,Mediclinic Arabian Ranches
5,Dr. Samina Ahmad,HealthPlus Family Clinic - Al Forsan
6,Dr. Noura Obaid Ibrahim Humaid Al Ali,Mediclinic Al Mamora
7,Dr. Zahra Albalooshi,Mediclinic Airport Road Hospital
8,Dr. Nico de Klerk,Mediclinic Arabian Ranches
9,Dr. Ibtihal Al-Tamimi,Mediclinic Airport Road Hospital
10,Dr. Omar Al Atragchi,Mediclinic Parkview Hospital
11,Dr. Soran Othman Sorani,Mediclinic Al Noor Hospital
12,Dr. Sameh Abdulkader,Mediclinic Mirdif
13,Dr. Mona Hegazi,Mediclinic City Hospital
14,Dr. Preya Patel,Mediclinic Parkview Hospital
15,Dr. Syed Taqi Zaidi,Mediclinic Springs
16,Dr. Saima Irfan Khan,HealthPlus Family Clinic - Al Bandar
17,Dr. Richard Jones,Mediclinic City Hospital
18,Dr. Reem Allateef,Mediclinic Parkview Hospital
19,Dr. Nizamuddin Gulsha,Mediclinic Mirdif
0,Dr. Tahira Khokhar,HealthPlus Family Clinic - Al Bandar
1,Dr. Seyed Babak Jamalian,Mediclinic Al Sufouh
2,Dr. Grant Callaghan,Mediclinic Arabian Ranches
3,Dr. Bilal Ahmed Ishtayeh,Mediclinic Welcare Hospital
4,Dr. Mohamed Elhanafy,Mediclinic Al Noor Hospital
5,Dr. Veda Riza,Mediclinic Ibn Battuta
6,Dr. Aileen Mariategue Villanueva,Mediclinic Al Noor Hospital
7,Dr. Kassem Mohammed Alkais,Mediclinic Al Jowhara Hospital
8,Dr. Mehnaz Mumtaz,Mediclinic Al Sufouh
9,Dr. Rula Albadri,Mediclinic Parkview Hospital
10,Dr. Johannes C. Van Dijk,Mediclinic Meadows
11,Dr. Sakina Yamani,Mediclinic Welcare Hospital
12,Dr. Chyrell-Lyn Mananguite,Mediclinic Deira
13,Dr. Sameer Arora,iCARE Clinic - Discovery Gardens
14,Dr. Joseph Abi Kheirs,Mediclinic Al Ain Hospital
15,Dr. Katherine Fu,Mediclinic Dubai Mall
16,Dr. Zoukhra Ibragimova,Mediclinic Arabian Ranches
17,Dr. Atanas Hristov,German Medical Center Dubai
18,Dr. Andrew Devine,Mediclinic Parkview Hospital
19,Dr. Omer Saeed Abbas Saeed Elsobaie,Mediclinic Bawadi
0,Dr. Marie Carole,Mediclinic Airport Road Hospital
1,Dr. Shabari Patkar,Mediclinic City Hospital
2,Dr. Anna Harman,Mediclinic City Hospital
3,Dr. Mohammed Rahoomi Al Azzawi,Mediclinic Khalifa City
4,Dr. Eman Kamil Asaad,Mediclinic Zakher
5,Dr. Naheed Riaz,Mediclinic Al Qusais
6,Dr. Nebras Saab,Mediclinic Bawadi
7,Dr. Fatma Khamis Saad Mubarak,Mediclinic Al Noor Hospital
8,Dr. Laura Horne,Mediclinic Ibn Battuta
9,Dr. Amer Iqbal,Mediclinic Al Sufouh
10,Dr. Abdulla Hashim Ibrahim,Mediclinic Al Mussafah
11,Dr. Marie Joseph Nasrallah,Mediclinic Mirdif
12,Dr. Amarat Motasem Seyam,Mediclinic Al Yahar
13,Dr. Sarah Khalid Shikh Edres Mohammed Ali,Mediclinic Bawadi
14,Dr. Faiza Naweed,Sara Medical Center
15,Dr. Ahmed Salem Anwar,Mediclinic Al Mussafah
16,Dr. Margaretha L. Van Spronsen,Sakura Medical and Dental Clinic Dubai
17,Dr. Jose Dennis Joson,iCARE Clinic - UpTown Mirdif
18,Dr. Mohammed Norain,iCARE Clinic - UpTown Mirdif
19,Dr. Prithvijit Debnath,iCARE Clinic - Oasis Center
0,Dr. Nusrat Hassan,Emirates Hospitals & Clinics - Sharjah
1,Dr. Ghada Ahmed Mahmoud Shehata Elsherbiny,Emirates Hospital Day Surgery - Abu Dhabi
2,Dr. Jisha Kesavan,iCARE Blue Cosmopolitan Medical Centre - Bur Dubai
3,Dr. Mir Khan,iCARE Clinic - Discovery Gardens
4,Dr. Rafik Nabil Antoun Mikhael,City Center Mirdif - Medcare Medical Centre
5,Dr. Rasha Alani,Khawaneej - Medcare Medical Centre
6,Dr. Saria El Hachem,Jumeirah American Clinic - Al Wasl
7,Dr. Shagufta Zia,Jumeirah - Medcare Medical Centre
8,Dr. Safdar Zabeth,Motor City - Medcare Medical Centre
9,Dr. Mohammed Aljeaidi,Rashidiya - Medcare Medical Centre
10,Dr. Suha Al Hetary,Al Barsha - Medcare Medical Centre
11,Dr. Vanamala Parthiban,Mediclinic Al Madar
12,Dr. Ahmed Ghalayini,Emirates Hospitals & Clinics - Sharjah
