0,Drug Type: HUMAN OTC DRUG,S-Oint DIAPER RASH AND SKIN PROTECTANT,"LANOLIN, PETROLATUM",HUMAN OTC DRUG,TOPICAL,OINTMENT,"Get an overview of S-OINT DIAPER RASH AND SKIN PROTECTANT (lanolin, petrolatum ointment), including its generic name, formulation (i.e. pill, oral solution, injection, inhaled medicine) and why it’s used. The medication in S-Oint DIAPER RASH AND SKIN PROTECTANT can be sold under different names.

Refer to the “Also Known As” section to reference different products that include the same medication as S-Oint DIAPER RASH AND SKIN PROTECTANT.",https://www.healthgrades.com/drugs/fda/s-oint-diaper-rash-and-skin-protectant-lanolin-petrolatum-ointment
1,Drug Type: HUMAN OTC DRUG,S-Oint TRIPLE ANTIBIOTIC,"BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE",HUMAN OTC DRUG,TOPICAL,OINTMENT,"Get an overview of S-OINT TRIPLE ANTIBIOTIC (bacitracin zinc, neomycin sulfate, polymyxin b sulfate ointment), including its generic name, formulation (i.e. pill, oral solution, injection, inhaled medicine) and why it’s used. The medication in S-Oint TRIPLE ANTIBIOTIC can be sold under different names.

Refer to the “Also Known As” section to reference different products that include the same medication as S-Oint TRIPLE ANTIBIOTIC.",https://www.healthgrades.com/drugs/fda/s-oint-triple-antibiotic-bacitracin-zinc-neomycin-sulfate-polymyxin-b-sulfate-ointment
2,Drug Type: HUMAN OTC DRUG,S2,RACEPINEPHRINE HYDROCHLORIDE,HUMAN OTC DRUG,RESPIRATORY (INHALATION),SOLUTION,"Get an overview of S2 (racepinephrine hydrochloride solution), including its generic name, formulation (i.e. pill, oral solution, injection, inhaled medicine) and why it’s used. The medication in S2 can be sold under different names.

Refer to the “Also Known As” section to reference different products that include the same medication as S2.",https://www.healthgrades.com/drugs/fda/s2-racepinephrine-hydrochloride-solution
3,Drug Type: HUMAN PRESCRIPTION DRUG,SABRIL,VIGABATRIN,HUMAN PRESCRIPTION DRUG,ORAL,"TABLET, FILM COATED","Get an overview of SABRIL (vigabatrin tablet, film coated), including its generic name, formulation (i.e. pill, oral solution, injection, inhaled medicine) and why it’s used. The medication in SABRIL can be sold under different names.

Refer to the “Also Known As” section to reference different products that include the same medication as SABRIL.",https://www.healthgrades.com/drugs/fda/sabril-vigabatrin-tablet-film-coated
4,Drug Type: HUMAN PRESCRIPTION DRUG,SABRIL,VIGABATRIN,HUMAN PRESCRIPTION DRUG,ORAL,"POWDER, FOR SOLUTION","Get an overview of SABRIL (vigabatrin powder, for solution), including its generic name, formulation (i.e. pill, oral solution, injection, inhaled medicine) and why it’s used. The medication in SABRIL can be sold under different names.

Refer to the “Also Known As” section to reference different products that include the same medication as SABRIL.",https://www.healthgrades.com/drugs/fda/sabril-vigabatrin-powder-for-solution
5,Drug Type: HUMAN OTC DRUG,Safetussin DM,DEXTROMETHORPAN GUAIFENESIN,HUMAN OTC DRUG,ORAL,LIQUID,"Get an overview of SAFETUSSIN DM (dextromethorpan guaifenesin liquid), including its generic name, formulation (i.e. pill, oral solution, injection, inhaled medicine) and why it’s used. The medication in Safetussin DM can be sold under different names.

Refer to the “Also Known As” section to reference different products that include the same medication as Safetussin DM .",https://www.healthgrades.com/drugs/fda/safetussin-dm-dextromethorpan-guaifenesin-liquid
6,Drug Type: HUMAN OTC DRUG,Safetussin PM,DEXTROMETHORPHAN DOXYLAMINE SUCCINATE,HUMAN OTC DRUG,ORAL,LIQUID,"Get an overview of SAFETUSSIN PM (dextromethorphan doxylamine succinate liquid), including its generic name, formulation (i.e. pill, oral solution, injection, inhaled medicine) and why it’s used. The medication in Safetussin PM can be sold under different names.

Refer to the “Also Known As” section to reference different products that include the same medication as Safetussin PM.",https://www.healthgrades.com/drugs/fda/safetussin-pm-dextromethorphan-doxylamine-succinate-liquid
7,Drug Type: HUMAN OTC DRUG,Safeway Nighttime Cold and Flu,"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, DOXYLAMINE SUCCINATE",HUMAN OTC DRUG,ORAL,"CAPSULE, LIQUID FILLED","Get an overview of SAFEWAY NIGHTTIME COLD AND FLU (acetaminophen, dextromethorphan hydrobromide, doxylamine succinate capsule, liquid filled), including its generic name, formulation (i.e. pill, oral solution, injection, inhaled medicine) and why it’s used. The medication in Safeway Nighttime Cold and Flu can be sold under different names.

Refer to the “Also Known As” section to reference different products that include the same medication as Safeway Nighttime Cold and Flu.",https://www.healthgrades.com/drugs/fda/safeway-nighttime-cold-and-flu-acetaminophen-dextromethorphan-hydrobromide-doxylamine-succinate-capsule-liquid-filled
8,Drug Type: HUMAN PRESCRIPTION DRUG,Safyral,DROSPIRENONE/ETHINYL ESTRADIOL/LEVOMEFOLATE CALCIUM AND LEVOMEFOLATE CALCIUM,HUMAN PRESCRIPTION DRUG,NA,KIT,"Get an overview of SAFYRAL (drospirenone/ethinyl estradiol/levomefolate calcium and levomefolate calcium kit), including its generic name, formulation (i.e. pill, oral solution, injection, inhaled medicine) and why it’s used. The medication in Safyral can be sold under different names.

Refer to the “Also Known As” section to reference different products that include the same medication as Safyral.",https://www.healthgrades.com/drugs/fda/safyral-drospirenone-ethinyl-estradiol-levomefolate-calcium-and-levomefolate-calcium-kit
9,Drug Type: HUMAN OTC DRUG,Sal de Uvas Picot,CITRIC ACID MONOHYDRATE AND SODIUM BICARBONATE,HUMAN OTC DRUG,ORAL,"GRANULE, EFFERVESCENT","Get an overview of SAL DE UVAS PICOT (citric acid monohydrate and sodium bicarbonate granule, effervescent), including its generic name, formulation (i.e. pill, oral solution, injection, inhaled medicine) and why it’s used. The medication in Sal de Uvas Picot can be sold under different names.

Refer to the “Also Known As” section to reference different products that include the same medication as Sal de Uvas Picot.",https://www.healthgrades.com/drugs/feed/sal-de-uvas-picot
