1,Dr Ahmad Al-Ghamdi,Surgeon and Bariatric Surgeon,Dallah Hospital - Alnakheel,"English,Arabic"
2,Dr Ehab F. Wahbah,Obstetrician - gynaecologist,Dr. Hospital Sulaiman Al Habib Specialist,"English,Arabic"
3,Dr Bishi Al-Qarni,Maxillofacial surgeon,OK Clinic,"English,Arabic"
4,Prof. Dr. Sami Alharethy,Otolaryngologist,Suliman Al-Habib Alolaya hospital,"English,Arabic"
5,Dr Ghassan Alokby,Otolaryngologist,مستشفى الملك فيصل التخصصي ومركز الأبحاث,"English,Arabic"
6,Dr Yasser Sabr,Obstetrician - gynaecologist and Maternal fetal medicine doctor,Dallah Hospital,"English,Arabic"
7,Dr Maysoon Ben Obaid,Obstetrician - gynaecologist,Consultant Center Medical Group - Al-Mursalat,"English,Arabic"
8,Dr Yousef Yasin,Neurosurgeon,Mouwasat Hospital,"English,Arabic"
9,Dr Saad Abumelha,Urologist and Andrologist,Business Center,"English,Arabic"
10,Dr Abdulrahim Zakaria,Physical therapist and Telerehabilitation doctor,Alosrah Medical Company For Health Investment,"English,Arabic"
11,Prof. Dr. Mohamed Farahat,Phoniatrician,Business center - King Abdulaziz University Hospital,"English,Arabic"
12,Dr Ehab F. Wahbah,Obstetrician - gynaecologist,Dr. Hospital Sulaiman Al Habib Specialist,"English,Arabic"
13,Dr Salim Alkeraye,Dermatologist,Allure Clinic,"English,Arabic"
14,Dr Ghassan Alokby,Otolaryngologist,مستشفى الملك فيصل التخصصي ومركز الأبحاث,"English,Arabic"
15,Dr Ehab F. Wahbah,Obstetrician - gynaecologist,Dr. Hospital Sulaiman Al Habib Specialist,"English,Arabic"
16,Dr Mohamed Alshouli,Orthopaedic surgeon,Medical Specialist Center,"English,Arabic"
17,Dr Ghassan Alokby,Otolaryngologist,مستشفى الملك فيصل التخصصي ومركز الأبحاث,"English,Arabic"
18,Dr Adel Alsenaid,Dermatologist,Trust Clinics,"English,Arabic"
19,Dr Sara Alsubait,Endodontist,Image Dental Clinic,"English,Arabic"
20,Dr Mohammed Batais,Diabetologist and Chronic diseases specialist,King khalid university hospital.jpg,"English,Arabic"
21,Dr Mohamed Alshouli,Orthopaedic surgeon,Medical Specialist Center,"English,Arabic"
22,Dr Yousef Yasin,Neurosurgeon,Mouwasat Hospital,"English,Arabic"
23,Dr Salim Alkeraye,Dermatologist,Allure Clinic,"English,Arabic"
24,Dr Abdulaziz Alodhayani,Geriatrician and Family doctor,Dr. Sulaiman Al Habib Hospital - Takhassusi,"English,Arabic"
25,Dr Ehab F. Wahbah,Obstetrician - gynaecologist,Dr. Hospital Sulaiman Al Habib Specialist,"English,Arabic"
26,Dr Mohammed Albwardi,Dentist,,"English,Arabic"
27,Dr Haitham Badr,Obstetrician - gynaecologist,Sulaiman Al-Habib hospital,"English,Arabic"
28,Dr Rami Shaath,Gastroenterologist and Internal medicine specialist,Dr Sulaiman Al Habib hospital - Olaya,"English,Arabic"
29,Dr Saad Abumelha,Urologist and Andrologist,Business Center,"English,Arabic"
30,Dr Ehab F. Wahbah,Obstetrician - gynaecologist,Dr. Hospital Sulaiman Al Habib Specialist,"English,Arabic"
31,Dr Adel Alsenaid,Dermatologist,Trust Clinics,"English,Arabic"
32,Dr Nader Al Hassani,Maxillofacial surgeon,Dr. Mohamed Al-Refaaie Dental Consultant Clinics,"English,Arabic"
33,Dr Abdulmalik Alwahabi,Cosmetic dentist and Advanced restorative dentist,Ok Clinic,"English,Arabic"
34,Dr Abdulmohsen Al-Juhaimi,"Dentist, Cosmetic dentist and Advanced restorative dentist",مجمع د. محمد الرافعي الإستشاري لطب الأسنان,"English,Arabic"
35,Dr Assad Al-Arafah,Family doctor and Community medicine doctor,"Business center, King Abdulaziz Medical City - National Guard","English,Arabic"
36,Dr Arwa AlSayed,Implantologist and Periodontist,Ok Clinic,"English,Arabic"
37,Dr Fahad Al-Sudairy,Dermatologist,Ok Clinic,"English,Arabic"
38,Dr Abdulmajeed Al Shujaa,Endodontist,Ok Clinic,"English,Arabic"
39,Dr Abdulmohsen Al-Juhaimi,"Dentist, Cosmetic dentist and Advanced restorative dentist",مجمع د. محمد الرافعي الإستشاري لطب الأسنان,"English,Arabic"
40,Dr Abdulmajeed Al Shujaa,Endodontist,Ok Clinic,"English,Arabic"
41,Dr Nader Al Hassani,Maxillofacial surgeon,Dr. Mohamed Al-Refaaie Dental Consultant Clinics,"English,Arabic"
42,Dr Fawaz Alqahtani,Cosmetic dentist and Implantologist,Dr.Mohammed Al-Rafee Consultant Dental Center,"English,Arabic"
43,Dr Sami Alturaiki,Endodontist,Mrclinics,"English,Arabic"
44,Dr Adel Al-Rusayes,Paediatric dentist,"Dr. Mohammed Al-Rafei, Consultant Dentist Center","English,Arabic"
45,Prof. Dr. Abdul AlGhany,Dermatologist,Af TD,"English,Arabic"
46,Dr Nader Al-Kenani,Orthopaedic surgeon,Medical Consultants,"English,Arabic"
47,Dr Hamad Alsubaie,Surgeon,Souliman Al-Habib hospital,"English,Arabic"
48,Dr Mohamed Alshouli,Orthopaedic surgeon,Medical Specialist Center,"English,Arabic"
49,Dr Ghassan Alokby,Otolaryngologist,مستشفى الملك فيصل التخصصي ومركز الأبحاث,"English,Arabic"
